ward_temperature,ward_humidity
22.7,84.1
22.7,83.9
22.7,84.0
22.7,84.0
22.7,84.0
22.7,83.9
22.7,83.9
22.7,83.9
22.7,83.8
22.7,83.8
22.7,83.8
22.7,83.8
22.7,83.8
22.7,83.9
22.7,83.9
22.7,83.9
22.7,84.0
22.7,84.0
22.7,84.1
22.7,84.0
22.7,84.1
22.7,84.0
22.7,83.8
22.7,83.8
22.7,83.7
22.7,83.6
22.7,83.6
22.7,83.6
22.7,83.6
22.7,83.6
22.7,83.8
22.7,83.8
22.7,83.9
22.7,83.8
22.7,83.8
22.7,83.7
22.7,83.7
22.7,83.6
22.7,83.4
22.7,83.5
22.7,83.6
22.7,83.6
22.7,83.7
22.7,83.8
22.7,83.8
22.7,83.8
22.7,83.6
22.7,83.7
22.7,83.6
22.7,83.5
22.7,83.5
22.7,83.5
22.7,83.7
22.7,84.0
22.7,84.0
22.7,84.0
22.7,84.0
22.7,83.8
22.7,83.7
22.7,83.6
22.7,83.5
22.7,83.4
22.7,83.4
22.7,83.4
22.7,83.5
22.7,83.5
22.7,83.4
22.7,83.4
22.7,83.4
22.7,83.3
22.7,83.2
22.7,83.2
22.7,83.2
22.7,83.1
22.7,83.1
22.7,83.2
22.7,83.2
22.7,83.1
22.7,83.1
22.7,83.1
22.8,83.1
22.8,83.2
22.7,83.3
22.7,83.4
22.7,83.5
22.7,83.5
22.7,83.4
22.7,83.4
22.8,83.3
22.8,83.7
22.8,83.9
22.8,83.8
22.7,83.7
22.8,83.5
22.8,83.4
22.8,83.3
22.8,83.3
22.8,83.2
22.8,83.2
22.8,83.3
22.8,83.2
22.8,83.3
22.8,83.3
22.8,83.3
22.8,83.3
22.8,83.3
22.8,83.2
22.8,83.2
22.8,83.2
22.8,83.2
22.8,83.3
22.8,83.3
22.8,83.2
22.8,83.2
22.8,83.3
22.8,83.3
22.8,83.2
22.4,75.0
22.4,73.4
22.4,73.0
22.4,73.1
22.4,73.1
22.4,75.2
22.4,75.4
22.4,73.7
22.4,74.5
22.5,75.9
22.5,75.7
22.5,75.5
22.5,75.6
22.5,75.8
22.5,76.5
22.5,76.0
22.5,77.1
22.5,78.2
22.5,78.7
22.5,77.4
22.5,75.9
22.5,74.2
22.5,72.8
22.5,72.7
22.5,73.3
22.5,72.7
22.5,72.9
22.5,72.5
22.5,73.5
22.5,72.4
22.4,72.1
22.5,72.2
22.4,73.0
22.4,74.6
22.4,75.1
22.4,74.5
22.5,74.5
22.5,75.2
22.4,74.2
22.4,72.6
22.4,73.0
22.4,73.6
22.4,73.5
22.4,74.2
22.5,74.8
22.4,75.2
22.4,75.0
22.5,75.4
22.5,75.3
22.5,75.3
22.5,75.4
22.5,74.9
22.5,75.1
22.5,74.9
22.5,75.4
22.5,75.3
22.5,75.0
22.5,77.5
22.5,75.7
22.5,75.2
22.5,74.1
22.5,74.3
22.5,74.1
22.5,75.1
22.5,74.6
22.5,74.1
22.5,74.1
22.5,74.8
22.5,75.1
22.5,73.8
22.5,74.2
22.5,74.2
22.5,73.7
22.5,73.4
22.5,73.2
22.5,72.9
22.5,72.8
22.5,73.3
22.5,74.6
22.5,74.3
22.5,73.3
22.5,72.3
22.5,71.7
22.5,72.6
22.5,74.3
22.5,75.0
22.5,75.0
22.5,73.7
22.5,73.9
22.5,73.8
22.5,75.1
22.6,77.8
22.6,76.5
22.6,77.2
22.6,76.4
22.6,75.3
22.6,73.6
22.6,72.2
22.6,71.7
22.6,72.0
22.6,72.4
22.6,72.2
22.6,73.0
22.6,72.0
22.6,73.4
22.6,74.3
22.6,73.9
22.6,72.8
22.6,72.5
22.6,75.3
22.6,75.0
22.7,73.7
22.7,72.5
22.7,72.0
22.7,71.2
22.7,71.1
22.7,72.2
22.7,71.6
22.7,71.1
22.7,71.5
22.7,72.0
22.7,73.7
22.7,74.3
22.7,73.3
22.7,72.3
22.7,72.5
22.7,73.2
22.7,71.8
21.7,90.3
21.7,89.4
21.7,89.2
21.7,89.1
21.7,88.9
21.7,88.1
21.7,88.1
21.7,87.6
21.7,87.1
21.7,87.8
21.7,88.7
21.7,88.8
21.7,89.0
21.7,89.8
21.7,90.0
21.7,89.5
21.7,89.6
21.7,89.7
21.7,90.1
21.7,90.5
21.7,90.1
21.7,89.4
21.7,88.7
21.7,88.6
21.7,87.9
21.7,87.4
21.7,88.0
21.7,88.0
21.7,88.0
21.7,87.4
21.7,87.6
21.7,87.7
21.7,87.6
21.7,86.8
21.7,86.6
21.7,86.1
21.7,86.0
21.7,86.6
21.7,88.0
21.7,89.0
21.7,88.6
21.7,87.9
21.7,87.1
21.7,88.5
21.7,88.3
21.7,88.0
21.7,87.4
21.7,87.1
21.7,86.7
21.7,86.4
21.7,86.3
21.7,86.2
21.7,87.1
21.7,87.8
21.7,87.6
21.7,87.0
21.7,86.5
21.7,86.2
21.7,85.7
21.7,85.6
21.7,85.7
21.7,85.5
21.7,85.3
21.7,85.4
21.7,85.3
21.7,85.6
21.6,85.5
21.6,86.0
21.6,85.9
21.6,85.7
21.6,85.6
21.6,85.7
21.6,85.6
21.6,85.5
21.6,85.6
21.6,86.6
21.6,87.4
21.6,87.2
21.6,87.0
21.6,86.3
21.6,86.0
21.6,86.5
21.6,86.7
21.6,86.4
21.6,86.1
21.6,87.1
21.6,86.7
21.6,86.7
21.6,86.8
21.6,86.3
21.6,86.0
21.6,85.8
21.6,85.7
21.6,86.3
21.6,86.4
21.6,87.2
21.6,87.8
21.6,87.2
21.7,86.6
21.6,86.1
21.6,85.9
21.6,85.7
21.6,85.6
21.6,85.7
21.6,87.7
21.7,87.9
21.7,87.6
21.6,87.4
21.7,86.7
21.7,87.2
21.7,86.7
21.7,86.3
21.7,86.4
21.7,86.3
21.7,86.3
21.7,86.3
21.7,87.1
21.7,86.6
21.7,86.3
21.7,86.1
21.7,86.5
21.7,86.6
21.7,86.4
21.7,86.1
21.7,86.1
21.7,86.8
21.7,86.8
21.7,86.5
21.7,86.3
21.7,86.4
21.7,86.1
21.7,85.9
21.7,85.8
21.7,85.7
21.7,86.4
21.7,86.7
21.7,86.4
21.7,86.1
21.7,85.9
21.7,85.9
21.7,86.0
21.7,85.9
21.7,85.9
21.7,86.0
21.7,86.0
21.7,85.9
21.7,85.8
21.7,85.7
21.7,85.6
21.7,85.7
21.7,85.7
21.7,85.7
21.7,85.7
21.7,85.9
21.7,86.5
21.7,86.3
21.7,86.1
21.7,86.1
21.7,85.9
21.7,85.8
21.7,85.8
21.7,85.8
21.7,85.9
21.7,86.0
21.7,85.9
21.7,85.9
21.7,85.7
21.7,85.9
21.7,85.7
21.7,85.7
21.8,85.6
21.8,85.6
21.7,85.6
21.8,85.7
21.8,86.1
21.7,86.9
21.8,88.1
21.8,88.1
21.8,88.1
21.8,87.5
21.8,88.3
21.8,89.5
21.8,90.4
21.9,89.6
21.9,88.0
21.9,87.2
21.9,86.6
21.9,86.1
21.9,85.9
21.9,86.3
21.9,86.7
21.9,86.7
21.9,86.3
21.9,85.9
21.9,85.6
21.9,85.5
21.9,85.4
21.9,85.4
21.9,85.5
21.9,85.5
21.8,85.4
21.9,85.4
21.9,85.3
21.8,85.3
21.9,85.3
21.8,85.2
21.8,85.3
21.8,85.4
21.8,85.4
22.4,87.0
22.4,86.8
22.4,86.9
22.4,87.1
22.5,87.9
22.5,88.2
22.5,88.7
22.5,88.2
22.5,88.4
22.5,89.2
22.5,89.9
22.5,90.7
22.6,89.6
22.6,88.9
22.6,88.4
22.6,88.2
22.6,87.3
22.6,86.8
22.6,86.6
22.6,86.9
22.6,86.9
22.6,86.6
22.6,86.4
22.6,86.3
22.6,86.3
22.6,86.1
22.6,86.0
22.6,85.8
22.6,85.7
22.6,85.5
22.6,85.5
22.6,85.7
22.6,85.9
22.6,86.0
22.6,86.7
22.6,86.5
22.6,86.3
22.6,85.9
22.6,85.7
22.6,85.6
22.6,85.7
22.6,85.6
22.6,85.6
22.6,85.7
22.6,85.8
22.6,85.8
22.6,85.8
22.6,85.8
22.6,85.8
22.6,86.0
22.6,85.8
22.6,85.7
22.6,85.6
22.6,85.8
22.6,86.3
22.6,86.9
22.6,86.9
22.6,87.2
22.6,87.9
22.6,87.2
22.6,86.8
22.6,86.5
22.6,86.3
22.6,86.1
22.6,86.0
22.6,86.0
22.6,86.0
22.6,86.1
22.6,86.0
22.6,86.0
22.6,86.1
22.6,86.1
22.6,86.0
22.6,85.9
22.6,86.0
22.6,86.0
22.6,86.1
22.6,86.2
22.6,86.2
22.6,86.3
22.6,86.3
22.6,86.7
22.6,86.8
22.6,86.8
22.6,87.2
22.6,87.5
22.6,87.7
22.6,87.2
22.6,86.8
22.6,86.5
22.6,86.8
22.6,86.8
22.6,86.7
22.6,86.6
22.6,86.4
22.6,86.2
22.6,86.4
22.6,86.4
22.6,86.4
22.6,86.5
22.6,86.5
22.6,86.2
22.6,86.2
22.6,86.5
22.6,86.7
22.5,86.8
22.6,86.6
22.6,86.7
22.6,86.6
22.6,86.6
22.6,86.5
22.6,86.5
22.5,86.5
22.5,86.5
22.6,86.5
22.5,86.5
22.6,86.5
22.5,86.7
22.5,86.6
22.5,86.8
22.5,86.9
22.5,87.0
22.5,87.1
22.5,87.6
22.5,87.4
22.5,87.4
22.5,87.6
22.5,87.6
22.5,88.0
22.5,87.7
22.6,87.4
22.5,87.2
22.5,87.2
22.5,87.2
22.5,87.5
22.5,87.5
22.5,87.5
22.5,87.4
22.6,87.4
22.6,87.2
22.6,87.3
22.5,87.1
22.5,87.1
22.5,87.1
22.5,87.1
22.5,87.3
22.5,87.4
22.5,87.4
22.6,87.4
22.6,87.4
22.5,87.3
22.6,87.3
22.6,87.4
22.6,87.3
22.6,87.3
22.6,87.3
22.6,87.2
22.5,87.1
22.6,87.0
22.5,87.0
22.6,87.0
22.6,86.8
22.6,86.7
22.6,86.8
22.6,86.7
22.6,86.8
22.6,86.8
22.6,86.9
22.6,86.9
22.6,87.2
22.6,87.2
22.6,87.1
22.6,87.1
22.6,87.0
22.6,87.0
22.6,86.9
22.6,87.6
22.6,87.8
22.6,87.8
22.6,87.5
22.6,87.8
22.6,87.6
22.6,87.4
22.6,87.4
22.6,87.3
22.6,87.2
22.6,87.0
22.6,86.9
22.6,86.9
22.6,87.1
22.6,87.2
22.6,87.1
22.6,87.0
22.6,87.1
22.6,87.1
22.6,87.0
22.6,87.1
22.6,87.0
22.6,87.0
22.6,86.9
22.6,86.9
22.6,86.8
22.6,86.8
22.6,86.8
22.6,86.8
22.7,86.7
22.6,86.7
22.6,86.7
22.7,86.6
